part,description,unitCost,unitPrice,weightLbs,category
6820H-LAD,"Playground Handles, Gate Handles",15.00,34.50,0,HARDWARE
6820H-LAK,"1/2"" x 4"" Titen HD Screw Anchor, Zinc",2.75,6.32,0,HARDWARE
6820H-LDD,"Swing & Swivel Eye Bolt (Quick Shift Saddle Bracket)",81.06,158.73,0,HARDWARE
6820H-LAC-G,"Eye Bolt - Fixed (Quick Shift Saddle Bracket)",6.00,13.80,0,HARDWARE
6820H-LP,"Eye Bolt - Fixed",8.95,20.58,0,HARDWARE
B0C4Y8XSNB,"Eye Bolt - Swing Hanger w/ Bearing",5.84,13.43,0,HARDWARE
6820H-LY,"Eye Bolt; 1/4-20 x 2 Length",6.50,14.95,0,HARDWARE
6820H-LAI,"Quick Shift Bracket Bent Pin w/ Lanyard",9.60,22.07,0,HARDWARE
6820H-LC,"Hex Nylon Insert Lock Nut, 1/2-13",0.34,0.78,0,HARDWARE
6820H-LX,"Flat Shoulder Rod End Bolt 5/16-18 x 1",15.50,35.65,0,HARDWARE
6820H-LF,"Hex Nylon Insert Lock Nut, 3/8-16",0.25,0.57,0,HARDWARE
6820H-LB,"Washer 1/2 Flat",0.18,0.41,0,HARDWARE
6820H-LA,"Hex Bolt, 1/2-13 x 4-1/2""",1.00,2.30,0,HARDWARE
6820H-LAG,"Hex Bolt, 1/2-13 x 4""",0.95,2.18,0,HARDWARE
6820H-LH,"Tap Bolt, 3/8-16 x 2-1/4""",0.55,1.26,0,HARDWARE
6820H-LG,"Tap Bolt, 3/8-16 x 1-3/4""",0.40,0.92,0,HARDWARE
6820H-LI,"Hex Bolt, 1/4-20 x 2-3/4""",0.26,0.60,0,HARDWARE
6820H-LJ,"Hex Bolt, 1/4-20 x 4""",0.50,1.15,0,HARDWARE
6820H-LK,"USS Flat Washer, 1/4",0.09,0.21,0,HARDWARE
6820H-LL,"Hex Nylon Insert Lock Nut, 1/4-20",0.14,0.32,0,HARDWARE
6820H-LT,"Coupling Nut, 5/16-18 x 1-3/4",1.25,2.88,0,HARDWARE
6820H-LAB,"Hex Nut, 5/16-18",0.11,0.25,0,HARDWARE
6820H-LAA,"Lock Washer, 5/16",0.07,0.16,0,HARDWARE
6820H-LU,"USS Flat Washer, 5/16",0.09,0.21,0,HARDWARE
6820H-LV,"Hex Bolt, 5/16-18 x 1""",0.30,0.69,0,HARDWARE
6820H-LW,"Hex Nylon Insert Lock Nut, 5/16-18",0.17,0.39,0,HARDWARE
6820H-LQ,"Tap Bolt, 1/2-13 x 6""",1.16,2.67,0,HARDWARE
6820H-LO,"Hex Bolt, 1/2-13 x 7""",1.47,3.38,0,HARDWARE
6820H-LR,"Hex Nut, 1/2-13",0.23,0.53,0,HARDWARE
6820H-LM,"USS Flat Washer, 3/8",0.10,0.23,0,HARDWARE
6820H-LN,"Hex Bolt, 1/2-13 x 3-1/2""",1.06,2.44,0,HARDWARE
6820H-LS,"Rubber Bumpers, 3/4 OD (25 pack)",11.00,25.30,0,HARDWARE
6820H-LAE,"Tap Bolt, 3/8-16 x 4""",1.18,2.71,0,HARDWARE
6820H-LAF,"V-Ring Bolt-On Anchor",3.42,7.87,0,HARDWARE
6820H-LAH,"Button Head Hex Drive Screw, 3/8-16 x 1-1/2""",0.84,1.93,0,HARDWARE
6820H-LAJ,"Hex Bolt, 1/2-13 x 5""",1.74,4.00,0,HARDWARE
SSG-SA-SWIVEL-EYE,"Swing & Swivel Eye Bolt (Stand Alone)",100.06,196.12,0,HARDWARE
